SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:2C:3B:38,2020-07-17 19:11:55.542621,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
1,DC:A6:32:2C:3B:38,2020-07-17 19:11:56.036873,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
2,DC:A6:32:2C:3B:38,2020-07-17 19:11:57.819681,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
3,DC:A6:32:2C:3B:38,2020-07-17 19:11:58.025891,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
4,DC:A6:32:2C:3B:38,2020-07-17 19:11:59.078507,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
5,DC:A6:32:2C:3B:38,2020-07-17 19:12:00.097207,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
6,DC:A6:32:2C:3B:38,2020-07-17 19:12:01.219709,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
7,DC:A6:32:2C:3B:38,2020-07-17 19:12:02.132923,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
8,DC:A6:32:2C:3B:38,2020-07-17 19:12:03.045997,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
9,DC:A6:32:2C:3B:38,2020-07-17 19:12:04.324813,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
10,DC:A6:32:2C:3B:38,2020-07-17 19:12:05.083591,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
11,DC:A6:32:2C:3B:38,2020-07-17 19:12:06.086067,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
12,DC:A6:32:2C:3B:38,2020-07-17 19:12:07.148572,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
13,DC:A6:32:2C:3B:38,2020-07-17 19:12:08.064835,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
14,DC:A6:32:2C:3B:38,2020-07-17 19:12:09.074875,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
15,DC:A6:32:2C:3B:38,2020-07-17 19:12:10.019926,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
16,DC:A6:32:2C:3B:38,2020-07-17 19:12:11.064983,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
17,DC:A6:32:2C:3B:38,2020-07-17 19:12:12.068679,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
18,DC:A6:32:2C:3B:38,2020-07-17 19:12:13.014929,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
19,DC:A6:32:2C:3B:38,2020-07-17 19:12:14.020008,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
20,DC:A6:32:2C:3B:38,2020-07-17 19:12:15.032495,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
21,DC:A6:32:2C:3B:38,2020-07-17 19:12:16.036288,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
22,DC:A6:32:2C:3B:38,2020-07-17 19:12:17.002577,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
23,DC:A6:32:2C:3B:38,2020-07-17 19:12:18.008791,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
24,DC:A6:32:2C:3B:38,2020-07-17 19:12:19.086309,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
25,DC:A6:32:2C:3B:38,2020-07-17 19:12:20.038825,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
26,DC:A6:32:2C:3B:38,2020-07-17 19:12:21.080136,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
27,DC:A6:32:2C:3B:38,2020-07-17 19:12:22.005114,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
28,DC:A6:32:2C:3B:38,2020-07-17 19:12:23.103972,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
29,DC:A6:32:2C:3B:38,2020-07-17 19:12:24.615252,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
30,DC:A6:32:2C:3B:38,2020-07-17 19:12:25.019563,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
31,DC:A6:32:2C:3B:38,2020-07-17 19:12:26.102071,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
32,DC:A6:32:2C:3B:38,2020-07-17 19:12:27.020277,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
33,DC:A6:32:2C:3B:38,2020-07-17 19:12:28.146504,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
34,DC:A6:32:2C:3B:38,2020-07-17 19:12:29.037895,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
35,DC:A6:32:2C:3B:38,2020-07-17 19:12:30.140351,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
36,DC:A6:32:2C:3B:38,2020-07-17 19:12:31.055328,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
37,DC:A6:32:2C:3B:38,2020-07-17 19:12:32.275345,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
38,DC:A6:32:2C:3B:38,2020-07-17 19:12:33.020382,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
39,DC:A6:32:2C:3B:38,2020-07-17 19:12:34.061016,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
40,DC:A6:32:2C:3B:38,2020-07-17 19:12:35.011234,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
41,DC:A6:32:2C:3B:38,2020-07-17 19:12:36.140572,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
42,DC:A6:32:2C:3B:38,2020-07-17 19:12:37.006767,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
43,DC:A6:32:2C:3B:38,2020-07-17 19:12:38.079279,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
44,DC:A6:32:2C:3B:38,2020-07-17 19:12:39.069277,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
45,DC:A6:32:2C:3B:38,2020-07-17 19:12:40.050549,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
46,DC:A6:32:2C:3B:38,2020-07-17 19:12:41.025601,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
47,DC:A6:32:2C:3B:38,2020-07-17 19:12:42.120635,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
48,DC:A6:32:2C:3B:38,2020-07-17 19:12:43.010602,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
49,DC:A6:32:2C:3B:38,2020-07-17 19:12:44.060671,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
50,DC:A6:32:2C:3B:38,2020-07-17 19:12:45.141277,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
51,DC:A6:32:2C:3B:38,2020-07-17 19:12:46.056974,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
52,DC:A6:32:2C:3B:38,2020-07-17 19:12:47.010718,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
53,DC:A6:32:2C:3B:38,2020-07-17 19:12:48.020706,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
54,DC:A6:32:2C:3B:38,2020-07-17 19:12:49.011930,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
55,DC:A6:32:2C:3B:38,2020-07-17 19:12:50.061974,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
56,DC:A6:32:2C:3B:38,2020-07-17 19:12:51.016961,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
57,DC:A6:32:2C:3B:38,2020-07-17 19:12:52.048251,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
58,DC:A6:32:2C:3B:38,2020-07-17 19:12:53.022096,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
59,DC:A6:32:2C:3B:38,2020-07-17 19:12:54.925207,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
60,DC:A6:32:2C:3B:38,2020-07-17 19:12:55.029531,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
61,DC:A6:32:2C:3B:38,2020-07-17 19:12:56.077077,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
62,DC:A6:32:2C:3B:38,2020-07-17 19:12:57.028334,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-70
63,DC:A6:32:2C:3B:38,2020-07-17 19:12:58.062127,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-73
64,DC:A6:32:2C:3B:38,2020-07-17 19:12:59.145933,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
65,DC:A6:32:2C:3B:38,2020-07-17 19:13:00.189736,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
66,DC:A6:32:2C:3B:38,2020-07-17 19:13:01.027192,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-74
67,DC:A6:32:2C:3B:38,2020-07-17 19:13:02.004722,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
68,DC:A6:32:2C:3B:38,2020-07-17 19:13:03.041579,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-71
69,DC:A6:32:2C:3B:38,2020-07-17 19:13:04.028489,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
70,DC:A6:32:2C:3B:38,2020-07-17 19:13:05.156109,6d032924-5aa1-4e9c-8638-48fcf76da6eb,1,1,1,-72
